ps2_real_address,class,method_signature,source_file,profiling_offset
00159720,CB3StartFinishLine,"Prepare(CB3PlanarTriggerStruct*,bool)",,160
0016bac0,CB3HUDComponent,"Prepare(int,int,int,int,EHUDAlign,int)",,208
001f21d0,CGtNATDataManager,UnregisterPlayer(int),,192
00225cb0,CB3SparkArray,Prepare(),,208
00225d90,CB3SparkArray,Construct(ESparkArrayID),,176
00225e90,CB3SparkArray,"CSparkBank::Construct(const CB3SparkArrayParams*,bool)",,224
00249f70,CB3SoundESMLow,Release(),,240
002cbff0,CB3MenuComponents,Construct(),,160
002de3c0,CB3VSelectComponent,"PrepareItem(int,float,bool)",,208
0014c890,CB3NetworkCar,PrepareSound(),,192
0016a2f0,CB3WrongWayWall,Prepare(),,192
0016a9f0,CB3AIArbitrator,Prepare(),,256
00173e30,CB3NetworkPlayerStartCountdownMessage,"Retrieve(int*,float*,int*)",,224
002cc260,CB3MenuChoices,RequestMShowDemoGameMode(),,256
002cc420,CB3TrackMaterial,FixUp(),,224
003482f0,CB3OfflineRoadRageLogic,"OnRaceCarCollision(ERaceCarCollisionType,CB3RaceCarPhysics*,CB3RaceCarPhysics*,float)",,144
00348cb0,CB3OnlineCompCrashLogic,"GetGameModeScore(int,const CB3FinishedScore*,int*,int*)",,256
00349f40,CB3OnlineRoadRageRaceLogic,"OnRaceCarFinished(CB3RaceCar*,EB3ScoreFinishState)",,224
0034af20,CB3OnlineStageLogic,UpdateAftermath(),,192
001505b0,CB3RacePosition,Draw(int),,192
00150bc0,CB3RacePosition,Prepare(),,192
0022c1e0,CB3TrafficLanesStruct,Fixup(unsigned int),,192
0022d900,CB3TrackRenderer,"SetMaterial(const CB3TrackMaterial&)",,208
0024f290,CB3SoundSkidModelGraph,"CalcVolumeOutput(float,float&) const",,160
002b7b60,CB3CameraAttribsCar,RegisterVariables(),,160
002b7d30,CB3CameraAttribsCar,Release(unsigned long),,256
00309cc0,CB3TableSelectComponent,"Prepare(int,CGt2dObjectTable*,const CB3MenuComponentSelectionData*)",,208
00334240,CB3NetworkReplayBodyMessage,Retrieve(unsigned char*),,224
00378860,CB3PostEventRewardsState,"Action(EGtStateAction,void*,void*,void*)",,192
003a0350,CB3MyBurnoutProgressPage,Prepare(),,208
003c3550,CB3OnlineUploadResultsPage,Update(),,144
0015a870,CB3TrafficAxle,InitalisePosition(CB3TrafficVehicle*),,176
0015b400,CB3TrafficLane,"DoesNeighbourExist(int,ESegmentNeighbourTypes)",,208
002a74b0,CB3PlayerCameraStateInactive,"Action(EGtStateAction,void*,void*,void*)",,208
002b9900,CB3RadialBlur,"Downsample(unsigned long,unsigned long,unsigned long,unsigned long,int,int,int,int)",,144
002c8140,CB3CoronaDynamicArray,EndUpdate(),,240
002ca370,CB3VehicleReflectivityData,Release(),,192
002ecf30,CB3BodyPartPhysics,Construct(),,208
0032fe30,CB3BehaviourInterpolate,Construct(CB3PlayerCameraManager*),,208
00349760,CB3OnlineCoOpCrashLogic,OnWorldPrepared(),,192
0039b280,CB3HardCodedVehicleList,"GetRaceVehicleString(int,bool)",,256
